timestamp,value
2014-02-27 16:50:00,94.941
2014-02-27 16:50:00,31.949
2014-02-27 16:50:00,90.085
2014-02-27 16:50:00,165.304
2014-02-27 16:50:00,710.212
2014-02-27 16:50:00,17.772
2014-02-27 16:50:00,297.271
2014-02-27 16:50:00,161.07
2014-02-27 16:50:00,77.407
2014-02-27 16:50:00,97.981
2014-02-27 16:50:00,244.087
2014-02-27 16:50:00,125.461
2014-02-27 16:50:00,36.402
2014-02-27 16:50:00,51.613
2014-02-27 16:50:00,20.752
2014-02-27 16:50:00,19.781
2014-02-27 16:50:00,43.11
2014-02-27 16:50:00,64.154
2014-02-27 16:50:00,186.057
2014-02-27 16:50:00,149.711
2014-02-27 16:50:00,97.299
2014-02-27 16:50:00,278.468
2014-02-27 16:50:00,33.231
2014-02-27 16:50:00,15.72
2014-02-27 16:50:00,147.362
2014-02-27 16:50:00,107.161
2014-02-27 16:50:00,16.301
2014-02-27 16:50:00,67.916
2014-02-27 16:50:00,22.648
2014-02-27 16:50:00,35.152
2014-02-27 16:50:00,112.387
2014-02-27 16:50:00,39.169
2014-02-27 16:50:00,91.296
2014-02-27 16:50:00,60.849
2014-02-27 16:50:00,38.397
2014-02-27 16:50:00,257.81
2014-02-27 16:50:00,189.996
2014-02-27 16:50:00,75.878
2014-02-27 16:50:00,89.088
2014-02-27 16:50:00,30.684
2014-02-27 16:50:00,110.01
2014-02-27 16:50:00,26.062
2014-02-27 16:50:00,46.564
2014-02-27 16:50:00,77.084
2014-02-27 16:50:00,73.433
2014-02-27 16:50:00,64.358
2014-02-27 16:50:00,86.813
2014-02-27 16:50:00,16.276
2014-02-27 16:50:00,35.141
2014-02-27 16:50:00,71.021
2014-02-27 16:50:00,63.49
2014-02-27 16:50:00,14.508
2014-02-27 16:50:00,393.448
2014-02-27 16:50:00,334.983
2014-02-27 16:50:00,176.159
2014-02-27 16:50:00,668.308
2014-02-27 16:50:00,199.249
2014-02-27 16:50:00,297.153
2014-02-27 16:50:00,98.989
2014-02-27 16:50:00,105.896
2014-02-27 16:50:00,95.108
2014-02-27 16:50:00,80.16
2014-02-27 16:50:00,83.831
2014-02-27 16:50:00,65.275
2014-02-27 16:50:00,165.975
